@relation smile

@attribute shimmerLocal_sma_max numeric
@attribute shimmerLocal_sma_min numeric
@attribute shimmerLocal_sma_range numeric
@attribute shimmerLocal_sma_amean numeric
@attribute shimmerLocal_sma_variance numeric
@attribute shimmerLocal_sma_skewness numeric
@attribute shimmerLocal_sma_kurtosis numeric
@attribute logHNR_sma_max numeric
@attribute logHNR_sma_min numeric
@attribute logHNR_sma_range numeric
@attribute logHNR_sma_amean numeric
@attribute logHNR_sma_variance numeric
@attribute logHNR_sma_skewness numeric
@attribute logHNR_sma_kurtosis numeric
@attribute pcm_RMSenergy_sma_max numeric
@attribute pcm_RMSenergy_sma_min numeric
@attribute pcm_RMSenergy_sma_range numeric
@attribute pcm_RMSenergy_sma_amean numeric
@attribute pcm_RMSenergy_sma_variance numeric
@attribute pcm_RMSenergy_sma_skewness numeric
@attribute pcm_RMSenergy_sma_kurtosis numeric
@attribute emotion {0,1,2,3}

@data

8.680305e-001,8.725298e-002,7.807775e-001,3.127339e-001,2.761081e-002,1.049694e+000,3.696729e+000,1.185954e+001,-4.715630e+000,1.657517e+001,4.407496e+000,1.598909e+001,-8.774578e-003,2.146238e+000,5.697410e-003,4.885606e-004,5.208849e-003,1.584016e-003,1.548640e-006,1.607688e+000,4.986455e+000,unknown
5.306701e-001,7.164866e-002,4.590214e-001,2.357676e-001,7.052238e-003,9.639083e-001,4.134449e+000,6.744188e+000,-9.085824e+000,1.583001e+001,3.054612e-001,1.269737e+001,-6.308791e-001,2.877216e+000,3.038814e-003,4.399266e-004,2.598887e-003,8.798952e-004,2.275631e-007,2.632357e+000,1.061662e+001,unknown
4.990424e-001,7.277892e-002,4.262635e-001,2.330307e-001,8.165064e-003,9.577038e-001,3.621170e+000,8.086224e+000,-1.084617e+001,1.893239e+001,-4.305025e-001,1.252941e+001,-6.642885e-001,3.342043e+000,1.797835e-003,4.542634e-004,1.343572e-003,8.348799e-004,1.130727e-007,1.158088e+000,3.291004e+000,unknown
8.503401e-001,1.084929e-002,8.394908e-001,1.381181e-001,1.636505e-002,1.687334e+000,6.387499e+000,2.657300e+001,-3.438208e+000,3.001121e+001,1.183903e+001,4.491293e+001,-3.404466e-001,1.937355e+000,1.340855e-002,5.719631e-004,1.283659e-002,3.426583e-003,3.497879e-006,1.241101e+000,6.396138e+000,unknown
6.987736e-001,8.631042e-003,6.901425e-001,1.329425e-001,1.430980e-002,1.344287e+000,4.601402e+000,2.568395e+001,-6.320785e+000,3.200474e+001,1.335953e+001,6.264237e+001,-4.061041e-001,1.942092e+000,2.939879e-002,4.201068e-004,2.897868e-002,6.031850e-003,1.779873e-005,1.468954e+000,7.675341e+000,unknown
9.320319e-001,8.346903e-003,9.236850e-001,1.223555e-001,1.263238e-002,2.443841e+000,1.210077e+001,2.337590e+001,-6.773333e+000,3.014923e+001,1.220817e+001,4.027571e+001,-4.459010e-001,2.230213e+000,1.112442e-002,4.031338e-004,1.072129e-002,4.041278e-003,4.269884e-006,4.602015e-001,3.092169e+000,unknown
5.349706e-001,5.632021e-003,5.293385e-001,2.182496e-001,1.411611e-002,4.071940e-001,3.057791e+000,2.106059e+001,-1.311046e+001,3.417105e+001,4.692560e+000,5.466138e+001,2.032567e-001,2.888788e+000,2.619127e-002,6.148941e-004,2.557638e-002,8.428430e-003,4.536818e-005,5.400855e-001,2.202868e+000,unknown
1.000000e+000,7.596735e-003,9.924033e-001,2.486526e-001,4.658043e-002,1.668475e+000,6.016672e+000,2.513046e+001,-9.746998e+000,3.487745e+001,8.533059e+000,8.559664e+001,2.418763e-001,1.766756e+000,3.515306e-002,4.149639e-004,3.473810e-002,5.577811e-003,2.407315e-005,2.384049e+000,1.383241e+001,unknown
7.662691e-001,1.140011e-001,6.522681e-001,2.465767e-001,1.437301e-002,2.431441e+000,1.017034e+001,1.159456e+001,-1.086344e+001,2.245800e+001,2.619600e+000,2.207730e+001,-5.255110e-001,2.902434e+000,1.361027e-002,4.672921e-004,1.314298e-002,3.522797e-003,1.543264e-005,1.133347e+000,2.971094e+000,unknown
8.680305e-001,8.725298e-002,7.807775e-001,3.127339e-001,2.761081e-002,1.049694e+000,3.696729e+000,1.185954e+001,-4.715630e+000,1.657517e+001,4.407496e+000,1.598909e+001,-8.774578e-003,2.146238e+000,5.697410e-003,4.885606e-004,5.208849e-003,1.584016e-003,1.548640e-006,1.607688e+000,4.986455e+000,unknown
5.306701e-001,7.164866e-002,4.590214e-001,2.357676e-001,7.052238e-003,9.639083e-001,4.134449e+000,6.744188e+000,-9.085824e+000,1.583001e+001,3.054612e-001,1.269737e+001,-6.308791e-001,2.877216e+000,3.038814e-003,4.399266e-004,2.598887e-003,8.798952e-004,2.275631e-007,2.632357e+000,1.061662e+001,unknown
4.990424e-001,7.277892e-002,4.262635e-001,2.330307e-001,8.165064e-003,9.577038e-001,3.621170e+000,8.086224e+000,-1.084617e+001,1.893239e+001,-4.305025e-001,1.252941e+001,-6.642885e-001,3.342043e+000,1.797835e-003,4.542634e-004,1.343572e-003,8.348799e-004,1.130727e-007,1.158088e+000,3.291004e+000,unknown
6.745629e-001,1.699681e-002,6.575661e-001,2.142888e-001,1.882830e-002,1.281369e+000,4.732862e+000,2.412162e+001,-1.157039e+001,3.569201e+001,5.996847e+000,6.775645e+001,2.256194e-001,1.863273e+000,6.999695e-003,3.266887e-004,6.673006e-003,2.073321e-003,2.398699e-006,7.382882e-001,2.702239e+000,unknown
9.976875e-001,1.322089e-002,9.844666e-001,2.143720e-001,2.723919e-002,1.607166e+000,6.046463e+000,2.590554e+001,-1.246115e+001,3.836669e+001,8.070211e+000,7.564414e+001,-5.438916e-002,2.052647e+000,9.094768e-003,4.482718e-004,8.646497e-003,2.948874e-003,4.218224e-006,5.494083e-001,2.285018e+000,unknown
9.241831e-001,1.730535e-002,9.068777e-001,2.721453e-001,3.182726e-002,1.017797e+000,3.740931e+000,2.191431e+001,-1.338615e+001,3.530046e+001,3.751582e+000,6.110029e+001,5.280869e-001,2.386242e+000,8.149337e-003,4.742851e-004,7.675052e-003,2.397427e-003,3.051277e-006,9.345573e-001,3.521665e+000,unknown
8.261905e-001,6.708020e-003,8.194824e-001,1.646648e-001,2.237295e-002,1.635404e+000,6.125832e+000,2.565231e+001,-9.999511e+000,3.565182e+001,1.076373e+001,6.655857e+001,-4.239230e-001,2.207017e+000,1.051541e-002,4.535772e-004,1.006183e-002,3.733375e-003,4.065014e-006,-8.508044e-002,2.056243e+000,unknown
7.966903e-001,6.406149e-003,7.902842e-001,1.495178e-001,1.119367e-002,1.894004e+000,8.922119e+000,2.044728e+001,-1.049736e+001,3.094465e+001,8.966605e+000,4.190371e+001,-5.030398e-001,2.386587e+000,5.331709e-003,4.228145e-004,4.908894e-003,2.024855e-003,1.094051e-006,2.042022e-001,2.379468e+000,unknown
9.665967e-001,6.605590e-003,9.599911e-001,1.850417e-001,3.476084e-002,1.784874e+000,6.107606e+000,2.354112e+001,-7.053353e+000,3.059447e+001,1.072063e+001,6.319793e+001,-3.567162e-001,1.985188e+000,7.253418e-003,4.357761e-004,6.817642e-003,3.446376e-003,3.102341e-006,-2.724562e-001,1.920313e+000,unknown
6.001707e-001,7.250157e-002,5.276691e-001,2.522860e-001,1.036418e-002,1.027819e+000,3.992825e+000,7.148654e+000,-1.136385e+001,1.851250e+001,-2.605564e-001,1.620136e+001,-4.712524e-001,3.079250e+000,1.576491e-003,3.768488e-004,1.199642e-003,7.918963e-004,1.133431e-007,7.115076e-001,2.130406e+000,unknown
8.661913e-001,4.488362e-002,8.213077e-001,2.567222e-001,2.253876e-002,2.064308e+000,7.856758e+000,2.139517e+001,-1.483782e+001,3.623299e+001,1.976860e+000,3.551528e+001,7.017364e-001,4.003121e+000,3.788210e-003,3.342125e-004,3.453998e-003,1.046240e-003,5.451977e-007,1.745485e+000,5.344257e+000,unknown
5.893041e-001,1.071185e-001,4.821856e-001,2.556673e-001,8.778156e-003,1.481646e+000,5.342533e+000,1.032239e+001,-9.727305e+000,2.004970e+001,9.945490e-002,1.706992e+001,3.433656e-002,2.476796e+000,1.949523e-003,3.974757e-004,1.552047e-003,7.358069e-004,9.982895e-008,1.729699e+000,5.694637e+000,unknown
1.000000e+000,5.120188e-003,9.948798e-001,1.181065e-001,1.694638e-002,2.769601e+000,1.311920e+001,2.555359e+001,-1.061885e+001,3.617244e+001,1.264098e+001,5.967983e+001,-4.200613e-001,2.188774e+000,1.059035e-002,3.357185e-004,1.025464e-002,3.523024e-003,4.466178e-006,9.655958e-001,4.289023e+000,unknown
9.895408e-001,1.966568e-003,9.875742e-001,1.298956e-001,1.519033e-002,2.436811e+000,1.379290e+001,2.662778e+001,-1.015913e+001,3.678691e+001,9.339988e+000,6.661988e+001,-4.288833e-002,1.735432e+000,6.505929e-003,3.920091e-004,6.113920e-003,2.976461e-003,3.185083e-006,7.651915e-002,1.727171e+000,unknown
8.193808e-001,9.080591e-003,8.103002e-001,1.405869e-001,1.968372e-002,1.943266e+000,7.019166e+000,2.374378e+001,-1.046702e+001,3.421079e+001,1.026885e+001,4.761317e+001,-6.155556e-001,2.661144e+000,9.057838e-003,5.189382e-004,8.538899e-003,2.894996e-003,1.918758e-006,6.026015e-001,3.860322e+000,unknown
1.000000e+000,9.129572e-003,9.908704e-001,1.196119e-001,1.545447e-002,2.705677e+000,1.385862e+001,2.637924e+001,-6.634149e+000,3.301339e+001,1.324654e+001,5.180577e+001,-4.132030e-001,2.184502e+000,1.267190e-002,4.815362e-004,1.219037e-002,4.717069e-003,6.735463e-006,5.354213e-001,3.161700e+000,unknown
