shimmerLocal_sma;logHNR_sma;pcm_RMSenergy_sma
9.320319e-001;6.994902e+000;8.720861e-003
6.644326e-001;1.561873e+000;8.489008e-003
3.968333e-001;-2.647096e+000;8.118349e-003
1.037624e-001;5.027464e+000;7.688592e-003
7.857043e-002;1.358379e+001;7.333531e-003
4.172856e-002;2.023930e+001;7.025240e-003
2.936563e-002;2.107187e+001;6.696492e-003
1.692184e-002;2.039013e+001;6.406028e-003
4.958457e-002;1.939874e+001;6.215988e-003
5.211808e-002;1.860992e+001;6.131965e-003
6.128072e-002;1.820296e+001;6.001336e-003
5.190890e-002;1.698140e+001;5.854691e-003
5.994244e-002;1.639452e+001;5.776551e-003
6.114822e-002;1.647538e+001;5.587980e-003
3.207656e-002;1.815355e+001;5.361905e-003
9.821171e-002;1.789070e+001;5.050527e-003
1.078108e-001;1.715113e+001;4.679207e-003
1.173142e-001;1.576072e+001;4.103023e-003
3.790329e-002;1.328903e+001;3.628280e-003
4.874424e-002;9.707074e+000;3.552258e-003
8.621974e-002;9.464715e+000;3.607741e-003
1.612732e-001;8.959961e+000;3.332015e-003
3.123504e-001;1.013123e+001;3.414927e-003
5.542800e-001;7.193380e+000;4.099559e-003
7.660554e-001;4.296776e+000;5.346145e-003
6.189960e-001;7.825909e+000;6.114607e-003
3.374612e-001;1.238885e+001;6.221907e-003
7.172418e-002;1.925840e+001;5.911527e-003
6.416602e-002;1.782075e+001;5.412993e-003
6.696992e-002;1.649884e+001;4.947118e-003
5.397604e-002;1.484597e+001;4.371888e-003
8.312143e-002;1.209278e+001;3.459899e-003
1.343442e-001;7.301655e+000;2.450681e-003
1.512829e-001;4.265543e+000;1.704549e-003
1.208582e-001;3.628731e+000;2.209560e-003
1.957546e-001;6.334383e+000;3.633745e-003
4.616858e-001;6.328833e+000;5.322233e-003
7.237576e-001;4.453176e+000;6.543486e-003
6.023890e-001;6.667146e+000;7.168903e-003
3.133757e-001;1.213769e+001;7.580638e-003
2.792135e-002;1.929329e+001;7.874283e-003
2.058618e-002;2.143868e+001;8.092654e-003
3.709955e-002;2.005132e+001;8.207183e-003
5.119447e-002;1.898943e+001;8.086368e-003
5.890274e-002;1.837902e+001;7.910592e-003
4.893576e-002;1.979295e+001;7.823193e-003
2.820334e-002;1.956258e+001;7.885850e-003
3.231113e-002;1.958580e+001;8.008292e-003
5.523335e-002;1.911706e+001;8.110896e-003
6.794473e-002;1.973456e+001;8.112267e-003
5.693672e-002;1.968431e+001;8.021447e-003
3.367969e-002;1.942602e+001;8.058444e-003
3.469360e-002;1.855839e+001;8.039195e-003
3.238129e-002;1.957416e+001;8.232813e-003
2.898143e-002;1.939625e+001;8.445573e-003
2.743175e-002;2.034102e+001;8.755880e-003
3.437806e-002;1.855158e+001;8.962072e-003
4.309179e-002;1.903502e+001;9.010300e-003
3.752346e-002;1.969200e+001;8.819976e-003
7.010224e-002;2.108708e+001;8.823131e-003
6.752393e-002;2.063475e+001;9.019679e-003
6.525591e-002;1.947429e+001;9.485216e-003
2.183320e-002;1.871847e+001;9.575343e-003
9.086716e-003;1.979282e+001;9.565710e-003
8.346903e-003;2.016843e+001;9.415695e-003
1.939083e-002;2.027862e+001;9.354707e-003
3.239133e-002;1.847725e+001;9.006520e-003
3.626560e-002;1.982746e+001;8.642431e-003
4.639028e-002;2.029478e+001;8.236511e-003
5.326014e-002;2.078054e+001;7.819667e-003
7.472482e-002;1.778042e+001;7.144216e-003
6.953400e-002;1.712715e+001;6.228350e-003
8.965445e-002;1.608474e+001;5.259034e-003
1.078506e-001;1.462498e+001;4.380372e-003
1.229487e-001;1.228488e+001;4.472947e-003
1.159904e-001;7.197755e+000;6.750533e-003
1.279783e-001;6.270412e+000;9.523609e-003
1.140070e-001;4.268415e+000;1.112442e-002
1.538188e-001;4.302707e+000;1.094359e-002
1.058350e-001;5.804166e+000;9.272648e-003
